approfondir;2;6;approfond;;t;p;;;
approprier;1;8;appropri;;t;p;;;
approuver;1;3;approuv;;t;p;;;
approvisionner;1;3;approvisionn;;t;p;;;
appuyer;1;26;appu;;i;t;p;;
apurer;1;3;apur;;t;;;;
aquiger;1;13;aquig;;i;;;;
arabiser;1;3;arabis;;t;;;;
araser;1;3;aras;;t;;;;
arbitrer;1;3;arbitr;;t;;;;
arborer;1;3;arbor;;t;;;;
arboriser;1;3;arboris;;i;;;;
arc-bouter;1;3;arc-bout;;t;p;;;
archaïser;1;3;archaïs;;i;;;;
architecturer;1;3;architectur;;t;;;;
archiver;1;3;archiv;;t;;;;
arçonner;1;3;arçonn;;t;;;;
ardoiser;1;3;ardois;;t;;;;
aréner;1;3;arén;;i;;;;
argenter;1;3;argent;;t;;;;
argotiser;1;3;argotis;;i;;;;
argougner;1;9;argougn;;t;;;;
arguer;1;11;argu;;t;ti;;;
argumenter;1;3;argument;;i;;;;
ariser;1;3;aris;;t;;;;
armer;1;3;arm;;t;p;;;
armorier;1;8;armori;;t;;;;
arnaquer;1;11;arnaqu;;t;;;;
aromatiser;1;3;aromatis;;t;;;;
arpéger;1;18;arp;;t;;;;
arpenter;1;3;arpent;;t;;;;
arpigner;1;9;arpign;;t;;;;
arquebuser;1;3;arquebus;;t;;;;
arquepincer;1;12;arquepin;;t;;;;
arquer;1;11;arqu;;i;t;p;;
arracher;1;3;arrach;;t;p;;;
arraisonner;1;3;arraisonn;;t;;;;
arranger;1;13;arrang;;t;p;;;
arrenter;1;3;arrent;;t;;;;
arrérager;1;13;arrérag;;i;p;;;
arrêter;1;3;arrêt;;i;t;p;;
arriérer;1;14;arri;;t;;;;
arrimer;1;3;arrim;;t;p;;;
arriser;1;3;arris;;t;;;;
arriver;1;3;arriv;;t;p;;;être
arroger;1;13;arrog;;xp;;;;
arrondir;2;6;arrond;;t;p;;;
arroser;1;3;arros;;t;p;;;
arsouiller;1;9;arsouill;;xp;;;;
articuler;1;3;articul;;i;t;p;;
artiller;1;9;artill;;i;;;;
ascensionner;1;3;ascensionn;;t;;;;
aseptiser;1;3;aseptis;;t;;;;
aspecter;1;3;aspect;;t;;;;
asperger;1;13;asperg;;t;p;;;
asphalter;1;13;asphalt;;t;;;;
asphyxier;1;8;asphyxi;;t;p;;;
aspirer;1;3;aspir;;t;ti;;;
assagir;2;6;assag;;t;p;;;
assaillir;3;44;;;t;;;;
assainir;2;6;assain;;t;;;;
assaisonner;1;3;assaisonn;;t;;;;
assarmenter;1;3;assarment;;t;;;;
assassiner;1;3;assassin;;t;;;;
assavoir;3;;;;t;d;;;
assécher;1;14;ass;;i;t;;;
assembler;1;3;assembl;;t;p;;;
assener;1;19;ass;;t;;;;
asséner;1;14;ass;;t;;;;
asseoir;3;59/60;;;t;p;;;
assermenter;1;3;asserment;;t;;;;
asservir;2;6;asserv;;t;p;;;
assibiler;1;3;assibil;;t;;;;
assiéger;1;18;assi;;t;;;;
assigner;1;9;assign;;t;;;;
assimiler;1;3;assimil;;t;p;;;
assister;1;3;assist;;t;ti;;;
associer;1;8;associ;;t;p;;;
assoiffer;1;3;assoiff;;t;;;;
assoler;1;3;assol;;t;;;;
assombrir;2;6;assombr;;t;p;;;
assommer;1;3;assomm;;t;p;;;
assoner;1;3;assoner;;i;;;;
assortir;2;6;assort;;t;p;;;
assoupir;2;6;assoup;;t;p;;;
assouplir;2;6;assoupl;;t;p;;;
assourdir;2;6;assourd;;t;;;;
